id,lat,lon,flock
3605601286,28.196467,-82.3289259,0
3612950416,59.9239057,10.8440864,0
3614316604,34.5927726,-118.1956804,1
3661629102,51.2311539,4.5492708,0
3688187598,33.5212724,-117.761664,1
3707962538,49.521456,11.0331751,0
3712422792,45.4924684,12.1110758,0
3752963057,52.2223924,6.8928773,0
3759335187,59.933921,10.709856,0
3777088294,39.9794962,-83.0227966,1
3784991276,40.4155315,-74.1668044,1
3802607164,59.976125,10.927683,0
3815183320,50.388983,8.0631312,0
3818433757,35.7848346,140.3368048,0
3818433758,35.7849264,140.3367685,0
3854641973,52.0484142,8.7871372,0
3862938022,46.9479474,17.8783068,0
3881204283,46.955039,18.2188585,0
3901852115,50.9624036,5.8386599,0
3906566237,50.8779416,4.6987156,0
3928857645,51.4548836,0.2460573,0
3937884371,68.475036,17.56582,0
3937977266,68.471912,17.483938,0
3943658519,35.9934447,140.158853,0
3956418188,33.8324623,-118.1076676,1
3957330668,55.6153312,12.5220338,0
3959313117,54.8159765,9.3240848,0
3959313118,54.8158114,9.3241165,0
3959883431,54.8170922,9.3244535,0
3959883432,54.817483,9.3244179,0
3964007846,47.2971779,16.8320335,0
3965718858,54.8400149,9.4038024,0
3966740634,54.8166385,9.3608425,0
3973514223,55.5465669,9.5286892,0
3973514224,55.5461671,9.52738,0
3973514225,55.5457295,9.5283974,0
3973514226,55.5457715,9.5284592,0
3974497356,37.7398132,-122.1976211,1
3981524067,34.0719556,-118.1431741,1
3994444354,55.7875812,12.5289842,0
3994450257,54.8979238,11.9218138,0
3996092871,36.0215312,-75.6618897,1
4000628836,55.7080905,12.5128515,0
4000780559,56.098492,10.0305077,0
4002208289,54.5789389,11.9255167,0
4002208290,54.5789129,11.9253848,0
4002218553,54.6607655,11.3627711,0
4002218555,54.6582654,11.3582988,0
4002551468,55.0660176,9.3624459,0
4003632176,24.4890586,54.6293639,0
4003839655,55.631679,12.6760521,0
4003872624,54.8340938,11.7969432,0
4007069296,56.0985884,10.0300756,0
4007069297,56.0983353,10.0307406,0
4009418848,57.4341562,10.5360733,0
4009418849,57.4340645,10.5360209,0
4011704792,45.0958797,-93.2188681,1
4019902396,55.2996501,10.8521065,0
4019902397,55.2994499,10.8521893,0
4028063304,-33.8648266,-65.1259814,0
4034036876,37.7655162,-122.4760181,1
4040253751,63.7669597,11.4547029,0
4040554846,57.0591571,9.9527572,0
4044382776,24.5181783,54.3978794,0
4053146141,33.8791909,-84.4712918,1
4057887320,-31.9258287,115.9105323,0
4064122011,56.0285977,12.6085844,0
4065400390,50.9645129,3.8556855,0
4065400391,50.9645932,3.8558858,0
4065407074,50.9297794,3.9445268,0
4065407075,50.929892,3.9447179,0
4086636283,54.9046058,8.9099989,0
4088015586,55.591026,9.6013402,0
4088015587,55.5908567,9.6010585,0
4092288945,46.4357508,11.3467684,0
4097920625,32.1266566,-81.2634575,1
4133803370,39.8309917,-89.6035781,1
4143510689,57.5886936,9.9743763,0
4152631227,57.0592782,9.9529472,0
4152631228,57.0593761,9.9531324,0
4152631229,57.0592655,9.9529263,0
4167811245,40.5069511,68.7573655,0
4167816738,37.2754478,-122.0096511,0
4184747855,44.9675125,-93.3517561,1
4193264256,32.6476181,-96.8684106,1
4194398290,42.400124,-71.134487,1
4194560528,14.2553339,120.976795,0
4205925304,51.2390109,5.0692687,0
4212538179,33.5277549,-117.1715855,1
4271615893,-34.5396954,-58.4754458,0
4279277342,14.2553122,121.057476,0
4295117069,-32.9128778,-60.8675159,0
4295117070,-32.9129226,-60.8675271,0
4308548378,44.8043628,10.3248884,0
4313131333,42.5339956,-96.3705213,1
4317416535,54.8969957,8.7503965,0
4320193899,53.9613196,10.3374627,0
4320359599,37.2652345,-122.013198,0
4346271752,59.877451,10.819237,0
4349415823,59.902341,10.768099,0
4355525365,47.5378738,8.9155915,0
4367365285,34.5559387,-118.0429195,0
4369771295,51.3175815,5.0674204,0
4375850761,42.4651401,59.619412,0
4378923060,55.6312586,12.6560938,0
4401291120,39.7694407,-105.0531497,1
4403466896,38.5724727,-92.1633397,1
4411373873,51.8771513,-0.3806964,0
4411373878,51.8771149,-0.3807636,0
4421698215,41.1363524,-95.8951819,1
4434284925,55.6301237,12.6382263,0
4466585668,42.4355654,19.2288856,0
4466612238,52.4817217,4.9259935,0
4470687130,32.6901771,-96.8571502,1
4481609961,52.2222984,6.8980038,0
4481609963,52.2218941,6.8993221,0
4481609965,52.2195225,6.8996692,0
4481609966,52.21948,6.8997268,0
4482269091,47.6534539,17.4167672,0
4482269092,47.653457,17.4163594,0
4484755708,52.2184083,6.8995363,0
4495234349,51.3948683,6.1807114,0
4495234350,51.3961865,6.1667394,0
4495234351,51.1731893,5.9801268,0
4495234352,51.1733649,5.9794136,0
4495234354,52.0234142,5.0643884,0
4495234355,52.0349902,5.0639649,0
4495234356,52.0396956,5.0641862,0
4495234357,52.0487048,5.0645379,0
4495234358,52.0530204,5.0649732,0
